epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.903,1.70257,3.08951,1.3178,0.00042,0.00464,6e-05,2e-05,3.43334,inf,6.46885,0.00325581,0.00325581,0.0706977
2,20.4518,1.78346,2.35252,1.40383,0.56525,0.00534,0.00113,0.00043,3.252,inf,3.91691,0.00652391,0.00652391,0.0406324
3,28.3673,1.79302,2.25461,1.40761,0.25863,0.02152,0.00166,0.00059,3.22296,inf,4.45203,0.00972602,0.00972602,0.0105012
4,36.2048,1.78487,2.16969,1.41088,0.16228,0.08791,0.0196,0.00821,2.40857,8.59022,2.10672,0.009703,0.009703,0.009703
5,43.3837,1.71698,2.06654,1.37998,0.46987,0.05766,0.03505,0.01653,2.28008,4.54031,1.8788,0.009604,0.009604,0.009604
6,51.1765,1.66681,1.95029,1.34751,0.48475,0.13427,0.11867,0.05626,2.07402,2.88337,1.73863,0.009505,0.009505,0.009505
7,58.6791,1.61768,1.86675,1.31695,0.62244,0.09746,0.09436,0.04717,2.00739,3.50394,1.69763,0.009406,0.009406,0.009406
8,65.9669,1.60459,1.81666,1.29458,0.37724,0.15235,0.10812,0.06068,1.86289,2.76538,1.56063,0.009307,0.009307,0.009307
9,73.0618,1.59051,1.75753,1.28424,0.45118,0.1809,0.15149,0.07519,2.00884,2.43983,1.70063,0.009208,0.009208,0.009208
10,80.1721,1.56644,1.71564,1.263,0.53651,0.22369,0.17037,0.09127,1.7604,2.63106,1.46996,0.009109,0.009109,0.009109
11,87.5785,1.54201,1.67415,1.26421,0.44113,0.20883,0.19984,0.10863,1.72491,2.08691,1.41239,0.00901,0.00901,0.00901
12,94.9675,1.51781,1.64129,1.24854,0.44636,0.18797,0.15994,0.0851,1.69982,2.19628,1.41796,0.008911,0.008911,0.008911
13,102.306,1.50858,1.60199,1.24181,0.55218,0.246,0.25422,0.14308,1.62043,2.01223,1.37556,0.008812,0.008812,0.008812
14,109.924,1.51633,1.57392,1.22974,0.52497,0.22131,0.20822,0.11576,1.68067,1.976,1.37507,0.008713,0.008713,0.008713
15,117.351,1.47288,1.52477,1.21884,0.52773,0.28185,0.25569,0.14223,1.52647,1.74396,1.30216,0.008614,0.008614,0.008614
16,125.165,1.48568,1.53073,1.21978,0.52946,0.24459,0.23319,0.13011,1.59098,1.83456,1.30091,0.008515,0.008515,0.008515
17,132.684,1.47464,1.48769,1.20323,0.56579,0.26924,0.26856,0.15827,1.57627,1.78264,1.31503,0.008416,0.008416,0.008416
18,140.326,1.44699,1.46721,1.20191,0.43676,0.36425,0.28338,0.17425,1.55049,1.90664,1.30399,0.008317,0.008317,0.008317
19,147.985,1.43618,1.45417,1.19256,0.45613,0.28086,0.25872,0.14893,1.60364,1.85403,1.31814,0.008218,0.008218,0.008218
20,155.435,1.43668,1.45412,1.20238,0.50677,0.2617,0.25728,0.13781,1.68537,1.79844,1.38521,0.008119,0.008119,0.008119
21,162.724,1.41473,1.4133,1.17905,0.51842,0.34384,0.3177,0.19075,1.56009,1.70149,1.29688,0.00802,0.00802,0.00802
22,170.36,1.40167,1.38736,1.17627,0.50216,0.35627,0.33129,0.19455,1.57306,1.61349,1.29167,0.007921,0.007921,0.007921
23,177.741,1.4194,1.39621,1.18162,0.53797,0.3027,0.30182,0.17982,1.5665,1.75334,1.28878,0.007822,0.007822,0.007822
24,185.408,1.41448,1.38576,1.17384,0.54383,0.29181,0.27537,0.15876,1.61774,1.90793,1.36042,0.007723,0.007723,0.007723
25,193.039,1.39499,1.3671,1.17427,0.53879,0.31333,0.30518,0.17255,1.62097,1.77381,1.3149,0.007624,0.007624,0.007624
26,200.535,1.38659,1.34908,1.16539,0.5701,0.37465,0.31906,0.18261,1.61978,1.76008,1.33531,0.007525,0.007525,0.007525
27,208.297,1.37996,1.33788,1.15996,0.50336,0.32337,0.33386,0.20389,1.54795,1.72343,1.2862,0.007426,0.007426,0.007426
28,216.003,1.38309,1.31593,1.15453,0.56601,0.34265,0.32599,0.19202,1.52901,1.62341,1.27171,0.007327,0.007327,0.007327
29,223.36,1.37253,1.30472,1.14941,0.5397,0.3342,0.32172,0.18193,1.51957,1.55505,1.25493,0.007228,0.007228,0.007228
30,230.736,1.36673,1.28331,1.14503,0.51577,0.36728,0.36643,0.22183,1.46788,1.48607,1.22691,0.007129,0.007129,0.007129
31,238.184,1.35419,1.28192,1.14889,0.47002,0.28897,0.28172,0.1613,1.54759,1.73659,1.25402,0.00703,0.00703,0.00703
32,245.608,1.34713,1.26446,1.13186,0.52781,0.34601,0.32231,0.18636,1.52151,1.61832,1.24182,0.006931,0.006931,0.006931
33,253.236,1.34226,1.24302,1.13805,0.54538,0.32034,0.3367,0.19403,1.57302,1.60567,1.2942,0.006832,0.006832,0.006832
34,260.944,1.34446,1.24751,1.13778,0.54104,0.35099,0.35746,0.21303,1.47912,1.52687,1.24384,0.006733,0.006733,0.006733
35,268.63,1.32945,1.23303,1.1269,0.5849,0.33553,0.35447,0.21387,1.50484,1.69592,1.25028,0.006634,0.006634,0.006634
36,276.005,1.3233,1.23154,1.13052,0.5821,0.33703,0.34144,0.21142,1.48652,1.62753,1.22412,0.006535,0.006535,0.006535
37,283.412,1.34246,1.23288,1.12905,0.58872,0.36187,0.33379,0.19771,1.44689,1.56634,1.21677,0.006436,0.006436,0.006436
38,290.842,1.30892,1.18969,1.1205,0.59917,0.38269,0.3917,0.23254,1.49123,1.4856,1.2349,0.006337,0.006337,0.006337
39,298.206,1.32504,1.2102,1.13018,0.63145,0.35196,0.37716,0.22662,1.47332,1.53348,1.213,0.006238,0.006238,0.006238
40,305.636,1.30788,1.18409,1.11453,0.6168,0.30252,0.34438,0.20632,1.48774,1.58672,1.27076,0.006139,0.006139,0.006139
41,313.038,1.30882,1.18429,1.1183,0.59648,0.40519,0.39674,0.23952,1.45155,1.47238,1.22261,0.00604,0.00604,0.00604
42,320.663,1.29855,1.17133,1.10926,0.59287,0.36464,0.36716,0.21441,1.44912,1.49882,1.21381,0.005941,0.005941,0.005941
43,327.968,1.28971,1.15438,1.1126,0.52779,0.37076,0.38024,0.22886,1.4572,1.46495,1.22883,0.005842,0.005842,0.005842
44,335.294,1.28278,1.1443,1.10445,0.48659,0.42868,0.36661,0.21147,1.45211,1.43295,1.2187,0.005743,0.005743,0.005743
45,342.767,1.27432,1.13295,1.10244,0.55667,0.4078,0.38588,0.22446,1.44029,1.37034,1.2155,0.005644,0.005644,0.005644
46,350.491,1.28085,1.13128,1.09792,0.60417,0.35668,0.38323,0.23138,1.4553,1.48697,1.20448,0.005545,0.005545,0.005545
47,358.228,1.2697,1.12159,1.09618,0.56771,0.41911,0.38193,0.22773,1.43884,1.42778,1.2066,0.005446,0.005446,0.005446
48,365.633,1.25771,1.10907,1.09516,0.57621,0.41436,0.40173,0.23977,1.44912,1.43777,1.21576,0.005347,0.005347,0.005347
49,373.412,1.25669,1.10118,1.09269,0.59421,0.38087,0.38513,0.23077,1.40475,1.38285,1.19196,0.005248,0.005248,0.005248
50,380.827,1.26758,1.10487,1.09258,0.62195,0.37932,0.3924,0.22961,1.4428,1.35417,1.20074,0.005149,0.005149,0.005149
51,388.525,1.26533,1.09838,1.09017,0.5282,0.38398,0.38836,0.22828,1.45485,1.50141,1.20844,0.00505,0.00505,0.00505
52,395.889,1.25993,1.08477,1.08906,0.55323,0.36533,0.37875,0.22782,1.44622,1.42196,1.22617,0.004951,0.004951,0.004951
53,403.66,1.24084,1.0808,1.0856,0.60597,0.34813,0.3975,0.23147,1.48876,1.39777,1.23007,0.004852,0.004852,0.004852
54,410.995,1.26544,1.09338,1.08546,0.71332,0.32969,0.39965,0.24079,1.40449,1.36645,1.1881,0.004753,0.004753,0.004753
55,418.331,1.23963,1.06235,1.078,0.43728,0.43418,0.38488,0.22889,1.44082,1.43243,1.2132,0.004654,0.004654,0.004654
56,425.752,1.24104,1.05242,1.07893,0.51234,0.34692,0.37496,0.22785,1.4551,1.57935,1.21521,0.004555,0.004555,0.004555
57,433.39,1.22541,1.04192,1.0751,0.55845,0.36625,0.39191,0.23143,1.49689,1.42847,1.23421,0.004456,0.004456,0.004456
58,441.044,1.22568,1.03688,1.07636,0.60947,0.38417,0.4176,0.24865,1.43335,1.37529,1.19536,0.004357,0.004357,0.004357
59,448.371,1.21858,1.03677,1.06767,0.68404,0.36448,0.4012,0.24569,1.39522,1.37331,1.20474,0.004258,0.004258,0.004258
60,455.962,1.21859,1.02724,1.07005,0.57692,0.39738,0.40608,0.24611,1.4461,1.45095,1.21418,0.004159,0.004159,0.004159
61,463.59,1.2055,1.01597,1.06664,0.60882,0.3726,0.41199,0.24316,1.44992,1.35303,1.21253,0.00406,0.00406,0.00406
62,470.884,1.20921,1.00871,1.06636,0.57193,0.40313,0.41111,0.24105,1.46571,1.36452,1.22042,0.003961,0.003961,0.003961
63,478.266,1.21362,1.00762,1.06555,0.59496,0.36924,0.40049,0.23975,1.46541,1.48,1.22777,0.003862,0.003862,0.003862
64,485.534,1.19754,0.99732,1.06467,0.61145,0.41097,0.42539,0.25306,1.42232,1.35148,1.19726,0.003763,0.003763,0.003763
65,492.979,1.20968,1.00482,1.06077,0.636,0.38093,0.40749,0.24122,1.45631,1.34689,1.20726,0.003664,0.003664,0.003664
66,500.662,1.18864,0.99939,1.05943,0.63159,0.39414,0.42124,0.24989,1.43545,1.3732,1.19507,0.003565,0.003565,0.003565
67,508.177,1.17234,0.97332,1.05197,0.52567,0.40448,0.40886,0.24397,1.46451,1.39764,1.22179,0.003466,0.003466,0.003466
68,515.528,1.1892,0.97045,1.05456,0.58416,0.42087,0.42257,0.25424,1.41651,1.35224,1.19453,0.003367,0.003367,0.003367
69,523.01,1.18313,0.96228,1.05168,0.55126,0.40036,0.4264,0.24797,1.43584,1.34476,1.20221,0.003268,0.003268,0.003268
70,530.486,1.1878,0.96718,1.04986,0.52822,0.372,0.41156,0.25321,1.42056,1.34593,1.19012,0.003169,0.003169,0.003169
71,537.869,1.18621,0.96381,1.04881,0.59729,0.37943,0.44381,0.26772,1.3868,1.34375,1.18147,0.00307,0.00307,0.00307
72,545.347,1.17425,0.9464,1.05112,0.54193,0.39237,0.40427,0.24098,1.47974,1.45928,1.2245,0.002971,0.002971,0.002971
73,552.677,1.16446,0.93181,1.04513,0.56257,0.41782,0.41418,0.24517,1.44804,1.34946,1.21058,0.002872,0.002872,0.002872
74,560.032,1.15631,0.92688,1.03957,0.54578,0.43289,0.43384,0.25961,1.42016,1.35025,1.1991,0.002773,0.002773,0.002773
75,567.882,1.15312,0.92424,1.04038,0.64265,0.36714,0.44017,0.26505,1.39909,1.30561,1.18453,0.002674,0.002674,0.002674
76,575.466,1.15265,0.92425,1.04188,0.57922,0.43987,0.42302,0.25075,1.42977,1.37116,1.19484,0.002575,0.002575,0.002575
77,582.784,1.14343,0.91086,1.03519,0.59081,0.40232,0.41201,0.243,1.45278,1.35445,1.21518,0.002476,0.002476,0.002476
78,590.421,1.16539,0.91522,1.04201,0.50124,0.41238,0.43811,0.25649,1.4435,1.38583,1.20326,0.002377,0.002377,0.002377
79,597.731,1.14389,0.91087,1.03861,0.4399,0.43119,0.42032,0.25307,1.41162,1.36416,1.18846,0.002278,0.002278,0.002278
80,605.286,1.15506,0.90239,1.03693,0.61019,0.39526,0.42629,0.25604,1.41791,1.28762,1.1882,0.002179,0.002179,0.002179
81,612.624,1.14742,0.89256,1.03192,0.58232,0.4083,0.4242,0.24939,1.41522,1.31259,1.19048,0.00208,0.00208,0.00208
82,619.897,1.13897,0.89084,1.02836,0.53724,0.41899,0.42532,0.25054,1.43432,1.34499,1.20697,0.001981,0.001981,0.001981
83,627.204,1.12798,0.87864,1.02059,0.5989,0.41278,0.42958,0.26333,1.41678,1.31682,1.19498,0.001882,0.001882,0.001882
84,634.67,1.13933,0.88906,1.02792,0.55785,0.41198,0.42433,0.25201,1.42197,1.32699,1.19463,0.001783,0.001783,0.001783
85,642.092,1.124,0.86972,1.0229,0.52252,0.41745,0.4321,0.25046,1.43758,1.3146,1.2038,0.001684,0.001684,0.001684
86,649.674,1.13569,0.88008,1.02377,0.49021,0.42608,0.42608,0.2501,1.42987,1.35323,1.20424,0.001585,0.001585,0.001585
87,657.418,1.11792,0.86591,1.02241,0.53691,0.41026,0.43631,0.25818,1.42319,1.32802,1.19073,0.001486,0.001486,0.001486
88,664.832,1.11179,0.8612,1.01735,0.54863,0.43566,0.44295,0.25852,1.431,1.31166,1.19285,0.001387,0.001387,0.001387
89,672.206,1.11737,0.8607,1.02082,0.5056,0.45107,0.43149,0.25897,1.41923,1.36558,1.19194,0.001288,0.001288,0.001288
90,679.497,1.11123,0.8434,1.01645,0.56329,0.41838,0.44384,0.26578,1.4029,1.31441,1.17879,0.001189,0.001189,0.001189
91,688.514,1.12437,0.8346,1.01769,0.61083,0.41792,0.43062,0.25232,1.4338,1.33713,1.20002,0.00109,0.00109,0.00109
92,695.898,1.0871,0.78331,1.00357,0.62082,0.41327,0.43041,0.25374,1.46495,1.33908,1.21285,0.000991,0.000991,0.000991
93,703.138,1.07952,0.77031,1.00023,0.57052,0.40654,0.43857,0.26101,1.43297,1.3157,1.19864,0.000892,0.000892,0.000892
94,710.374,1.07831,0.76546,0.9957,0.55576,0.41671,0.42902,0.25972,1.43156,1.37142,1.1946,0.000793,0.000793,0.000793
